Lead id,Job title,Company,Industry,Location,Company size,Campaign,Channel,Contacted at,Accepted,Replied,Reply label
lead_0001,VP Sales,Company 01,Software Development,"Paris, Île-de-France, France",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-27,no,,
lead_0002,Account Executive,Company 02,Software Development,"Madrid, Spain",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-03,yes,,
lead_0003,Marketing Manager,Company 03,Software Development,"Lyon, France",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-19,no,yes,Interested
lead_0004,Founder & CEO,Company 04,Software Development,"Lyon, France",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-18,no,yes,Not interested
lead_0005,CMO,Company 05,IT Services and IT Consulting,"Paris, Île-de-France, France",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-07,no,,
lead_0006,Head of Sales,Company 06,Manufacturing,"Austin, Texas, United States",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-26,yes,,
lead_0007,Head of Growth,Company 07,"Technology, Information and Internet","Lisbon, Portugal",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-20,no,yes,Not now
lead_0008,SDR,Company 08,"Technology, Information and Internet","London, England, United Kingdom",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-19,no,,
lead_0009,Sales Manager,Company 09,Financial Services,"Lisbon, Portugal",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-27,yes,,
lead_0010,CMO,Company 10,IT Services and IT Consulting,"Lyon, France",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-27,yes,,
lead_0011,Chief Revenue Officer,Company 11,"Technology, Information and Internet","Lyon, France",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-16,yes,,
lead_0012,Marketing Manager,Company 12,"Technology, Information and Internet","London, England, United Kingdom",201-500,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-15,yes,,
lead_0013,Marketing Manager,Company 13,Retail,"Madrid, Spain",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-22,no,,
lead_0014,COO,Company 14,Software Development,"New York, United States",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-05-16,no,yes,Interested
lead_0015,Head of Sales,Company 15,Financial Services,"Berlin, Germany",51-200,Q2 — SaaS founders FR/UK,LINKEDIN,2026-08-28,no,,
lead_0016,Directrice Marketing,Company 16,Retail,"Toronto, Canada",1001-5000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-13,yes,,
lead_0017,Chief Growth Officer,Company 17,Software Development,"Lisbon, Portugal",11-50,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-04,yes,yes,Interested
lead_0018,CMO,Company 18,"Technology, Information and Internet","London, England, United Kingdom",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-20,yes,,
lead_0019,Sales Director,Company 19,"Technology, Information and Internet","Lisbon, Portugal",1-10,Q2 — SaaS founders FR/UK,LINKEDIN,2026-07-16,no,yes,Meeting booked
lead_0020,Head of Sales,Company 20,IT Services and IT Consulting,"Paris, Île-de-France, France",501-1000,Q2 — SaaS founders FR/UK,LINKEDIN,2026-06-17,yes,,
